NOTA_INGRESSO,TIPO_INGRESSO_PISM,TIPO_INGRESSO_SISU,TIPO_INGRESSO_VESTIBULAR,TIPO_INGRESSO_OUTROS,cota_racial,cota_ampla_concorrencia,cota_escola_publica,cota_renda,cota_pcd,genero_masculino,genero_feminino,genero_outros,periodo_1_disciplinas_aprovadas,periodo_1_disciplinas_reprovadas,periodo_1_disciplinas_ri,periodo_1_disciplinas_trancadas,periodo_1_disciplinas_outros_status,periodo_1_bolsa_remunerada,periodo_1_bolsa_n_remunerada,periodo_1_AE,periodo_2_disciplinas_aprovadas,periodo_2_disciplinas_reprovadas,periodo_2_disciplinas_ri,periodo_2_disciplinas_trancadas,periodo_2_disciplinas_outros_status,periodo_2_bolsa_remunerada,periodo_2_bolsa_n_remunerada,periodo_2_AE,periodo_3_disciplinas_aprovadas,periodo_3_disciplinas_reprovadas,periodo_3_disciplinas_ri,periodo_3_disciplinas_trancadas,periodo_3_disciplinas_outros_status,periodo_3_bolsa_remunerada,periodo_3_bolsa_n_remunerada,periodo_3_AE,etnia_OUTRA,etnia_PARDA,etnia_PRETA
0.0,1,0,0,0,1,0,1,1,0,0,1,0,4,2,0,0,0,0,0,1,1,3,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0
696.28,0,1,0,0,0,1,0,0,0,0,1,0,5,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
712.36,0,1,0,0,1,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,6,0,0,0,0,0,1,1,0,1,0
731.88,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
710.64,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
747.4,0,1,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
869.8,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
639.4,0,1,0,0,0,0,1,0,0,1,0,0,5,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
596.62,0,1,0,0,1,0,1,1,0,1,0,0,5,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1
691.5,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0
375.0,1,0,0,0,0,0,1,1,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,5,0,0,1,0,0,0,1,0,0,0
688.25,1,0,0,0,0,0,1,1,0,0,1,0,5,1,0,0,0,0,0,1,4,2,0,0,0,0,0,1,4,0,0,1,0,1,0,1,0,1,0
718.04,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0
619.54,0,1,0,0,1,0,1,1,0,0,1,0,3,1,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0
902.3,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
719.2,1,0,0,0,1,0,1,0,0,1,0,0,4,1,1,0,0,0,0,0,5,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0
624.72,0,1,0,0,0,0,1,0,0,1,0,0,5,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0
597.1,1,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0
648.3,1,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
703.86,0,1,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0
717.18,0,1,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0
638.3,0,1,0,0,1,0,1,1,0,1,0,0,11,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,1,0
713.62,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0
498.5,1,0,0,0,0,1,0,0,0,1,0,0,4,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0
694.0,1,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0
686.04,0,1,0,0,1,0,1,0,0,1,0,0,2,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1,0
717.32,0,1,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,5,0,0,2,0,1,0,0,0,0,0
722.14,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0
713.86,0,1,0,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0
665.24,0,1,0,0,0,0,1,0,0,1,0,0,4,2,0,0,0,0,0,0,4,2,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0
650.6,1,0,0,0,0,1,0,0,0,0,1,0,4,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
701.4,0,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,1,0
544.8,1,0,0,0,0,0,1,1,0,0,1,0,4,0,0,2,0,0,0,0,5,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
1022.7,1,0,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
719.1,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,0,0
634.72,0,1,0,0,1,0,1,0,0,1,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
656.24,0,1,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,4,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,1,0
